symbol,ma_type,ma_period,mode,rr,trades,win_rate,profit_factor,total_return,max_drawdown,positive_month_rate,avg_monthly_pnl,median_monthly_pnl,monthly_pnl_std,withdrawn_total,final_equity,total_wealth,consistency_score
EURUSD,wma,89,flip,2.5,162,0.4074,1.5833,0.4302,0.1033,0.3419,14.71,0.0,58.67,1471.78,4249.14,5720.92,0.176852
EURUSD,wma,89,slope_flip,1.5,42,0.4524,1.1101,0.0188,0.046,0.1368,0.64,0.0,20.77,178.54,3896.61,4075.14,0.103572
EURUSD,wma,89,slope_flip,2.0,42,0.381,1.1555,0.0291,0.0555,0.1197,1.0,0.0,26.84,236.27,3880.25,4116.53,0.084623
EURUSD,wma,89,slope_flip,2.5,42,0.3333,1.1783,0.0361,0.0664,0.1111,1.23,0.0,28.57,301.97,3842.37,4144.34,0.076438
EURUSD,wma,89,pullback,1.5,151,0.2384,0.4386,-0.3695,0.3757,0.1795,-12.63,0.0,31.24,0.0,2522.12,2522.12,0.080584
EURUSD,wma,89,pullback,2.0,150,0.22,0.525,-0.3284,0.3378,0.1795,-11.23,0.0,34.16,0.0,2686.5,2686.5,0.083288
EURUSD,wma,89,pullback,2.5,144,0.1944,0.5476,-0.3147,0.3266,0.188,-10.76,0.0,36.16,0.0,2741.35,2741.35,0.087212
EURUSD,wma,100,flip,1.5,162,0.4074,0.9344,-0.0452,0.1038,0.3276,-1.56,0.0,38.25,70.59,3748.63,3819.22,0.198613
EURUSD,wma,100,flip,2.0,162,0.3704,1.0815,0.0606,0.1154,0.3103,2.09,0.0,41.9,436.3,3806.0,4242.3,0.180167
EURUSD,wma,100,flip,2.5,162,0.3333,1.1412,0.1105,0.1088,0.3103,3.81,0.0,49.36,589.3,3852.54,4441.84,0.171044
EURUSD,wma,100,slope_flip,1.5,42,0.5,1.3554,0.0548,0.0466,0.1638,1.89,0.0,21.43,249.35,3969.88,4219.22,0.123166
EURUSD,wma,100,slope_flip,2.0,42,0.4286,1.389,0.0681,0.0546,0.1379,2.35,0.0,25.63,353.21,3919.18,4272.39,0.098763
EURUSD,wma,100,slope_flip,2.5,42,0.381,1.4365,0.0825,0.0542,0.1207,2.84,0.0,29.34,409.8,3920.19,4329.99,0.083518
EURUSD,wma,100,pullback,1.5,119,0.2185,0.3802,-0.3394,0.3482,0.1121,-11.7,0.0,22.1,0.0,2642.42,2642.42,0.057233
EURUSD,wma,100,pullback,2.0,118,0.1949,0.4524,-0.3144,0.3295,0.1207,-10.84,0.0,24.42,0.77,2741.52,2742.29,0.062001
EURUSD,wma,100,pullback,2.5,117,0.1795,0.5137,-0.2852,0.3124,0.1121,-9.83,0.0,26.32,27.07,2832.15,2859.22,0.057984
EURUSD,jma,21,flip,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
EURUSD,jma,21,flip,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
EURUSD,jma,21,flip,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
EURUSD,jma,21,slope_flip,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
EURUSD,jma,21,slope_flip,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
EURUSD,jma,21,slope_flip,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
EURUSD,jma,21,pullback,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
EURUSD,jma,21,pullback,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
EURUSD,jma,21,pullback,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
EURUSD,jma,34,flip,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,4000.0,0.0
